pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
75969,"(2R,3R)-2,3-dibenzoyloxybutanedioic acid",14418.01,53125.78,2488.021,17435,6314.501,11368.06,5169.945,6667,5555.089,7822.481,12852,8583.731,7970.856,38604,40420,10186,3512.923,8752.621,5451.235,31543,28357,47348,6520,16647,29257,4330.931,20719,64086,33112,7620,47569,23761,9305
85781,bis(2-ethylhexyl) carbonate,31333.41,38983.97,17778,38055,33322.89,28739.97,31660.48,13277,10231.9,27919.68,29172,25365,24038,18505,21261,31406.55,21305,7503,9816,9670,15568,19956,11653,13167,13607,11200,7528,12285,15051,23293,9712,5501,9310
9268,cyclododecane,34039,639367,280853,425293,605225,331485,351682,226988,730846,657469,554592,1131456,635601,759135,740089,962416,283754,243467,272100,531204.4,482062,280188,284133,257305,476892,689782,637871,744808,916075,1329392,692876,277007,381652
7874,"2,2,4,4,6,6,8,8,10,10,12,12,14,14-tetradecamethyl-1,3,5,7,9,11,13-heptaoxa-2,4,6,8,10,12,14-heptasilacyclotetradecane ",51810,361436.9,49476,87987,132741.8,422444,67478,78497,247195.7,115824,142598,116687,112115,129016,249187,140551,57476,120241.9,65338,76115,82429.85,91709.48,91583.59,106199.5,214508,122481.4,48164.51,181779.5,132053,145505.5,124289,72992,59140.85
16021,1-ethylcyclohexan-1-ol ,9447,7001.892,3736.473,8152,5259,13382,7374,7412.549,3568,7551,6752,13242,11351,5762.015,16958,10802,3920,7698,3962,4231,8014,6372.053,1992.919,4011,5241,6025.468,3927,11840.59,12630,6755,10026.28,2077.386,6976
11172,"2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16,18,18-octadecamethyl-1,3,5,7,9,11,13,15,17-nonaoxa-2,4,6,8,10,12,14,16,18-nonasilacyclooctadecane",12647,29151,10721.49,28334,27996,55649,20661,13308,42102,22757,31568,20572,26557,22458,27500,26350.45,18554.45,15742,9155.113,9324,9856,11855.56,13567,19801.88,9101,23136.89,6170,19407,17361,31087,20342,9598,10828.16
11170,"2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16-hexadecamethyl-1,3,5,7,9,11,13,15-octaoxa-2,4,6,8,10,12,14,16-octasilacyclohexadecane",31287,122666,30079,65339,77964,209206,37834,39421,135103,49758,74492,75121.95,71269,56066,109876.2,98806.84,44458,55194.92,27174,20019,26867,32860.64,44329.21,56837,38767,91275.23,15642,54010,43462,59785,54242,23941,23907
11169,"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",5597,7775,4111,3780.665,6017,5867,4720,4575,3698,5119,5958.263,5780.501,5690,6533.934,7015,5850,2989,3840.51,3413,4027,4582.573,3437.267,1884.538,4192,4577,5168,3530,8662,6391,6418,8178.876,4109,4302.092
10914,"2,2,4,4,6,6-hexamethyl-1,3,5,2,4,6-trioxatrisilinane",2547.331,19784,155427,4842.341,13213,409266.6,464150,253977,332758.1,402817,274165,520948,508717,373123,623448,368075.9,496759,693320,272676,19843.52,413917,210178.9,540548,106993.5,76859.51,356519,197814,790978,725197,362781,68206.76,140527.6,80826.85
15600,decane,39866,38507,25122,31957.62,26648,52198.94,32678,27583,28828,40085,44505.23,43717,40638,49457.09,44815,40255,21493,22470,24455,27421,30439,31039,22139,30138,23711,21816,22729,39932,40732,33436,39943,18097,23204
23415,2-methyldecane,79377,71071,43560,47121,49024,79394,47315,46336,54525,78925,72400,82797,77729,88471,81158,79977,41260,44191,48882,45354,52670,49983,37708,49316,41835,41861,43018,66987,72733,59885,69373,32741,40937
17835,4-methyldecane ,74130,127093,41257,41033,42877,75119,43765,43711,54066,78345,72677,75604,70381,120656,100140,81955,39086,38925,43871,84081,87565,106261,39224,54600,57525,40376,58952,149688,94048,56052,104997,63450,36048.05
17835,4-methyldecane ,21172,29954,9662.075,10830,37622,3.17E-10,270650,194350,210668.5,89368.96,276620,263519,280618,226775,388430,13026.29,124437,37090,183495.9,46.92248,293316,67396.8,554419,16.87386,2.875708,259056,98077.31,474268,251737,176958.6,22.57619,1691.35,4.53E-07
8194,dodecanal,11475,36203.82,11207,14609,26136,23589,11613,7504.709,12178,23343,21015,22501,15026.6,12239,19357,18008,5998,6863.691,6970,10627,11448,7134.238,11441,4987,11774,18629,10860,21461,14037,19801.14,19606,4510.838,9600
20282,1-iodododecane,11127,16545,7995,12192,14362,31918,10337,7103,13426,16781,13707,17074,15713,7749,12618,15559,6574,9494,5463,4089,7185,6650,10844,11636,16692,7336,3675,9135,12889,14903,8274,3529,6173
75084,dodecyl prop-2-enoate,2060.217,10016,12900.4,3154,5042,4250.955,10804,10774.52,4712,10733.22,7728,15534,10413,15227,14643,10072.79,3252.853,7939,3972,9548,4426,3512,4123,3727,4453.96,3253,4090,8752.778,5683,25432,8764.534,3202.765,6684
8133,2-butoxyethanol  ,922.6492,2183.975,142871.4,1822.189,45325.87,134384,156677,307235,126501,136447,47036,279433,104953.1,182052,319181,141838,92417,120951.1,138212,58466,171517,247577.4,31429,101893,73804,43076,62145,108241,178684,148252,88691,51478,205513
31236,2-phenoxyethanol  ,212238,10472,35641,20064,17111,29998,48875,27784,25600,23864,12002,27237,61749,16659.78,39743,54394,6431,89863,11679,4288.006,25810,38460,6785.817,26125,77323,9996,6207.634,21222,47815,16157,44889,5372.774,7933
22568,2-phenoxyethyl acetate,39630,16669,19039,5186,4781,10590,17003,2702.196,4313.898,7943,10182,4132,5631,3516,6084,8053,2468.077,5931,1695.782,1616.652,3562.074,5575,2673,11064,12314,2945,1487.605,6265,6809,5348,8797,5188,2014.519
23229,1-(3-acetylphenyl)ethanone,45701,10563,10296,28845,46473,16274,58773,4547,10895,49020,6274,56068,24785,1273.308,2637.084,5911,683.6656,576.133,3671,7517,2724,3218,1089.866,845.7139,4923,14157,2989,15150,20470,1788.406,16871,1093.228,5794
7500,ethylbenzene,279.3043,4.281951,527.2968,194.8628,543.5209,47181,40554,60753,50328,91342,27186,71626,75028,76868,54475,68384,39450,29653,42650,30312.14,29470,234.6358,38246,28474.52,26537.82,37808,50484,51902,64911,79180,75072.74,18968.04,21362.52
2758,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",19910.27,3141,4860,8550.759,8343,5908,9303.794,9625,9074,14058.94,5269,20833,33871.87,15197,24231,18736,19565.69,13527.33,9096,6687,17751,14396,2693.005,8869.455,9779,5159,8920,11541,16526.64,14275,29307.15,2531,2490.319
19602,2-pentylfuran,129007,82648,5189,45516,41963,54766,44596,5887,10551.43,33458,46802,13575,68655,9891,24731.46,25551,2865.381,49830,16163,16165,32183,23745,24507,3939,31503,26460,11694,57835,48086,74169,64878,4397.679,49390
160669,(2S)-5-amino-2-(methylamino)-5-oxopentanoic acid,31.52052,539.398,667.9671,453.3391,1711.04,83082,77681,61225,76702,87374,89220,96523,91561,102930,105402,88599.01,56058,48365,64357,14008.34,60562,55799,43234,47887.02,38905.15,50492,55324,64773,97371,73333,30096.12,24107.48,35496.05
11636,heptacosane,4025.39,13035,1393.86,4330.139,5241.221,3938,2053.788,2385.586,3605.54,3772.63,2783,4105,3194,7038,8934,4224,1761.717,2931.343,1690.89,5054,3356,4455,2884,5030,9617,2179.875,2696.541,8134,6858,5302.831,5440,2639.731,1437.558
41209,"2,6,10,15-tetramethylheptadecane",9010,13006,5605,13019,12944,29482,9403,5472,8493,12772,8458,10325,10857,5793.272,8254,11160,4697,6346,3521,3334,6178,5097,7581,11656,12042,5692,2868.755,7128,9748,11381,5489,2560.098,3777
16663,4-ethylheptane ,28019,101554,15782,13338,15690,25588,14928,17427,20430.65,24566,20481,25133,23859.43,76124,52078,27305,12725.55,13842,14658.14,68221,62564,87295,10724,27567,36997.74,11610,36466.99,130949,50749,15303,66746,51943.71,10639.12
11006,hexadecane,36353,106936,20445,26307,25306,38155,23657,23299,22551.16,36807,30668,34277,37150,68171,82608,41641,16496,27616,18927.29,42666,37776,51706,24313.96,40707,72895,17287,33861,86974,69160,34600,71895.74,30829,19440.63
8697,2-ethylhexanoic acid,98058.04,85346,134455,77533,199129,136970,106671,146320,78494,258522.4,63693,115001,214503.4,60684,49231,110462,126493.7,145.9792,24260,10191.03,91031,67854,17978,142733,130826.6,51143,140455,22149.13,185993,189838.2,198409.6,7371.67,102521
91715001,"[4-[4-(4-hydroxyphenyl)hexan-3-yl]phenyl] 2,2,3,3,4,4,4-heptafluorobutanoate",12405,15872.05,5916,9445,10056.97,14652.89,6212,4286,3660.642,8050.514,14275.19,7132,13869,9396,7474.98,10545,4704,6340,3654,3331,4999,6644,4279.662,6238,4768,1959.741,3467,4233,9941,14344,7211,2532.139,5837
557859,"3,7-dimethyloct-7-en-3-ol",11903,4794,6055,2585.096,6038,20325,6170,4510,14037,8909,12761,4081,7313.882,17614,6261,6784,5183,1640.258,4746,4568,1462.54,5565,2175.938,2980,5104,4614,6214,10337,7994,4747,14261,4227,3719
