pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
7874,"2,2,4,4,6,6,8,8,10,10,12,12,14,14-tetradecamethyl-1,3,5,7,9,11,13-heptaoxa-2,4,6,8,10,12,14-heptasilacyclotetradecane ",58991,62983.01,64898,152742,103728,81928,99753,119585,228345,102091,172757.8,186001.4,304499,115568,54554,52249,126968,85878,116629,200616,113697.2,79269,65798,59659.82,119726.1,140150,185107.5,146085.8,74419,152709.2,75358.62,125158,124690.7,62977.56,47459.36
16021,1-ethylcyclohexan-1-ol ,4915.091,8438,12264,3633,5050,3637,14658,7019.683,13741,11509,3970,464.163,6245.681,11735.57,6706.348,9854,5320,1532.931,2513.94,2500.521,6604,3284,6576,1662.929,4659,4787,8878,4309,15585,5513,4244,5021.027,2808,3491.426,6022
89437,1-methyl-4-propan-2-ylcyclohexan-1-ol,39754,42659,255891,109260,133786,98407,323394,76524,43425.12,133005,174537,116016,169638,68117,51454,39865,39725,98785,62244,88326,108593,96690,45800,112191,64255,82249,403319,240707,65536,97369,64544.04,102731,97205,59234,123425
11172,"2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16,18,18-octadecamethyl-1,3,5,7,9,11,13,15,17-nonaoxa-2,4,6,8,10,12,14,16,18-nonasilacyclooctadecane",9546,12949,27092,7998.945,22612.79,28645.2,37217,20084,16381,22064,20151,31633,24716,21314.39,15048.38,9430,8762,21531.13,18070,12185,13479,14802,13984.15,8206,9267,19850,23211.01,38488,17642,15490.33,9742,11587.05,13971,11127.72,6324.041
11170,"2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16-hexadecamethyl-1,3,5,7,9,11,13,15-octaoxa-2,4,6,8,10,12,14,16-octasilacyclohexadecane",30288,35275,60456,29948,48750.97,53993,76612,62203,52715.02,55975,73344,94565,101580,72936,38706.92,22590,23982,58687,66524,41080.66,45419,37468,35736,20709,48332,74807.78,64943,106337,40765,36324,26372.57,34586,44467.85,28813,13766
544716,1-heptyl-2-methylcyclopropane,4521.451,316762,5327.134,5580.703,7181,5660.426,7106,4912,8640,5144,112085,9428.735,323664,25436,3778.011,3086,3240.695,1797.638,2458.909,18591.54,3087,3238,1570.616,2926,2791,2501,168029,3498,30821,4144.52,2987,2276.068,3607,1790.649,1948.759
11169,"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",4841,4687,7234,4282,4715.134,4241,7759,5639,6210,6550,5237,5624,4261.706,7287,3941,5964,4079,4575,3703,3182.409,6499,3536,3177.497,2864,3808.241,5118,6860.057,5340,9112,5167,4396,5004,3602,4395,4545
10914,"2,2,4,4,6,6-hexamethyl-1,3,5,2,4,6-trioxatrisilinane",3221.944,4857,8502.825,39950.76,362178,205447.9,478604,425393,509708.3,381222,522199,972.5311,450484,246875.6,210530,12701.1,440052,250248,502384.6,272975,503443,319595,274758.5,158424,156492,335084,363114,258990,465145,323130,40990.45,73573.65,143368,282343,390975
8175,decanal,20026,28015.92,68554,51906,22861,31848,147923,72592,172380,103560,12138,21571,28217.5,10088,3312,3115,3354,2309.47,4709.425,11368.5,3744,2437.695,4369.755,2778.866,4238,4882,7072,4465.047,8335.723,8100.355,3572.49,3283,3810.703,2632.248,7911
15600,decane,3415.923,25878,40010,29561,44233,27301,33477,46103.85,38211,39822,40780,1386.873,44436,50960.8,25667,26070,30946.87,22221.22,29152,26816,17901,17931,23155,20648,22602,42328,41002,36022,40009.85,41166,22803,20474,17665,20939,20391
17835,4-methyldecane ,54387,53983,72681,70062,80096,44625,61449,65530,107865,66692,71470,73275,115022,75480,41775,41076,96354.05,40046,51426,80114.96,30486.03,44992,82310,41177,48508,74311,92942,60996,70388,83110,40332,47053,41007,40594,48048
8194,dodecanal,11650.49,9634,21091,14165,11198.01,17761,22957,21199,15688,18457.99,16497,16813,12783,15187,6829,9015.783,7995,4878.056,7091,8693,11836,7628.749,2355.308,9939,9083,7933,9218,13075,14253,13519.55,11377,13036,13038,12149,7498
75084,dodecyl prop-2-enoate,12513.84,18516,8746,8334.192,8694.519,5867.465,7434,5982,4861.079,4345,28298,7534.512,2069.118,6998,5787,8947,4292,2644,5472.587,4103,6870,3565,1308.594,6677,4013.883,7858,11280.89,14638,5268.434,13452,4076,5426,11660,7942,4490
8133,2-butoxyethanol  ,2234.627,5776.939,2248.653,53160.22,209308,81820,198061,62464.37,444504.4,158444,212743,1576.915,205733,104742,140184,165083,55518,22915,157450,163962,104714,54530,122111,66356,98108,237462,144498,129426,200248,409950,71290.65,29184.92,64408,37232,188026
31236,2-phenoxyethanol  ,17359,51519,17332,43049,49595,38416,24330,10291,492029,18259,115526,120582,80536,30201,75967,13991,23037,6721,8378.424,62765,48662,8592,7957,12872,4459.596,23175,65549,50988,71554,130252,3226.326,5260,11480,4645.295,20202
22568,2-phenoxyethyl acetate,3336,8759,6725,12007,25497,9564,6691,7257,30641,8770,23085,16450,5502,11431,19607,2130.123,7235,3095,2475.002,17781,4379,4998,3692,5836,6503,4492,15116,15932,1913.454,59102,1405.049,4421,4603,798.5818,3137
23229,1-(3-acetylphenyl)ethanone,30213,10836,65905,16085,5188,12077,3899,21079,15406,35809,8765,47492,9503,14034,5087,5414.912,36387,9760,3472,2302.128,2228.228,1976.978,21832,3739,324.9569,2426.212,2536.715,23055,10093,7092,813.1792,433.3603,29038,262.1863,709.4804
1183578,"[(1R,2S)-2-(4-benzylpiperidine-1-carbonyl)-3-methylidenecyclopropyl]-(4-benzylpiperidin-1-yl)methanone",1048.276,6097.214,2994,17926,2664,2181.08,2880.366,6920,14163,3427,2522,4373,18258,5734,2432.672,1945.772,19726,2885.567,1939.005,24684,2984.838,6312,6376,1297.424,4557,1975.681,11177.7,3136,2662.046,8916,2192.235,10998,9895,3071.455,6305
7500,ethylbenzene,120813.3,435.2183,23274.82,121.7135,45423,51228,54003,36647,75297,37043,36266,128315,124298,23649.32,25020,49994,17104,14682,27880.57,29542,27280,16348,61991,36224.5,39695,46606,37759,32061,30862.16,60827,8145.322,7203.368,26929.38,55656,59983
2758,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",4115,9180.91,15780,4489,11593,5579,31668,2893.519,34867.55,7268,11651.91,4886,39204.59,5223.566,9342,16011,1333.939,1417.143,13516,7499.341,11084,6336,18924.29,7335,2701,12920,25333,19439,23497,14207,7593,3696.128,5681,3433,11385
19602,2-pentylfuran,2804.178,15743,77864.36,42824,11261.51,11521,60366,41326,52795,70633,21155,1364.227,38257,115170,13414,23389,30439,3440.117,4821.69,28227,29500,13779,21501,2452.041,9723,5085.254,12328,4979.752,88045,6707.719,19386,28065,6616,24590,22602
160669,(2S)-5-amino-2-(methylamino)-5-oxopentanoic acid,474.26,2143.011,399.5388,34.53464,82528,97807,70073,78893,76731,89346,97733,22.71327,86877,51964.43,64750,62104,61132,47605,44870.16,46385,29008,33395,49126,57941.39,40140,85687,93246,77168,70892.85,78606,10013.49,12689.65,25626.37,54320,76381
29036,"2,6,10,14-tetramethylheptadecane",1612.522,3015,2704.067,16659,4109,1234.98,3113.69,4056.895,22424,2190.578,5503,7247,24472,2974.281,1446.187,1898.383,18618.31,3292,4303,30314,3934.924,6838,6288,2984,6335,6896,12685,1763.204,4040.525,11642,2046.361,10996,9674,2807,4477
41209,"2,6,10,15-tetramethylheptadecane",9030,8301.748,11050,7982,8496,7196,12270,12584,21449,12369,18226,40079,11756,18952,5427,3375,4767,7400,10175,7546,10753,5239,6854,3421,9702,11170,11154,9390,5378,6369,3869,3358,4292,3545,2111.984
